,"M DE FOSILES, ROCAS Y MINERALES ",,,,,,,,,,,,,,,,,,,,,
,INVENTARIO DEL PATRIMONIO MINERALOGICO PT. 2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,CLAVE,NOMBRE,PROCEDENCIA,DESCRIPCION,UBICACIÓN,,IMAGEN,FECHA,OBSERVACION ,LUMINISCENCIA ,Tamaño,,,,,,,,,,,
,,,,,No. De caja ,No. De caja mediana ,,,,,Talla ,Medidas (cm),tipo,estatus,,,,,,,,
,40,Danburita ,,"Cristal prismático color blanco rosado, transparente y brillo vitreo. Con recubrimiento de cristales de calcita blanca, translucida y brillo vitreo. ",1/106,4,,27/01/2025,M ,Naranja,,,4,,,,,,,,,
,41,"Ortoclasa, microclina y stellerita, hornblenda y demantoide",,"Cristales prismáticos de ortoclasa color blanco,  semiopaco y brillo nacarado. Sobre cristales de microclina color rosado, translucido y brillo nacarado. Con granos de cristales de stellerita color naranja.  ",1/106,4,,27/01/2025,Tienda ,,,,5,,,,,,,,,
,42,Cuproadamita ,"Mina La Ojuela, Mapimi, Durango, México","Microcristales de adamita color azul verdoso, transparente y brillo vitreo. Sobre una matriz de limonitas. ",1/106,4,,27/01/2025,M ,,,,6,,,,,,,,,
,43,Calcita ,,"Cristales prismáticos dodecaedrales de color amarillo, translucido a opaco, con brillo mate. Tienen un recubrimiento de óxidos de hierro color amarillo. ",1/106,4,,27/01/2025,Tienda ,Amarillo ,,,7,,,,,,,,,
,44,Danburita y calcita ,,"Cristales prismáticos color blanco rosado, translucido y brillo vitreo. Con recubrimiento de cristales de calcita color naranja, translucido y brillo vitreo. ",1/106,4,,27/01/2025,Tienda ,Naranja,,,8,,,,,,,,,
,45,Conicalcita,,"Cristales oovoliticos color verde, opaco y brillo graso. Sobre una matriz de limonitas. ",1/106,4,,27/01/2025,M ,,,,9,,,,,,,,,
,46,"Amatista, calcopirita, cinabrio y calcita ",,"Cristales prismáticos color morado, translucido y brillo vitreo. Con granos de calcopirita iridiscentes. Sobre cristales de calcita blanca. ",1/106,4,,27/01/2025,Tienda ,,,,10,,,,,,,,,
,47,"Topacio, calcita y pirita ",,"Cristales prismáticos incoloros, transparente y brillo vitreo con agregado cristalino de calcita blanca, translucida y brillo vitreo y granos de pirita. ",1/106,4,,27/01/2025,Tienda ,Crema y naranja ,,,11,,,,,,,,,
,48,Cuarzo e ilmeita,,"Drusa de cristales incoloros de cuarzo, transparentes y brillo vitreo. Con la base un cristal masivo de ilmeita color gris acero, opaco y brillo metálico. ",1/106,5,,27/01/2025,Tienda ,,,,1,,,,,,,,,
,49,Calcita ,,"Cristal prismático de color blanco, translucido y brillo vitreo. Con recubrimiento de microcristales color beige, translucido y brillo vitreo. ",1/106,5,,27/01/2025,Tienda ,,,,2,,,,,,,,,
,50,"Pirita, esfalerita y boulangerita",,"Cristales fibrosos radiados color gris oscuro azulado, opaco y brillo metálico. Esos están sobre un agregado cristalino de pirita y esfalerita negra. ",1/106,5,,27/01/2025,Tienda ,,,,3,,,,,,,,,
,51,Galena y pirita ,,"Cristal anhedral de color gris oscuro, opaco y brillo mate. Con agregado granular de cristales de cuarzo y pirita. ",1/106,5,,28/01/2025,Tienda ,,,,4,,,,,,,,,
,52,Adamita y hematita ,,"Cristales color amarillo, transparente y brillo vitreo. Sobe cristales prismáticos color gris rojizo, opaco y brillo mate. ",1/106,5,,28/01/2025,Tienda ,,,,5,,,,,,,,,
,53,Rodocrosita ,,"Cristal prismático color rosa, translucido y brillo vitreo. Están sobre una matriz rocosa moderadamente propitilizada con granos de galena y calcopirita. ",1/106,5,,28/01/2025,Tienda ,,,,6,,,,,,,,,
,54,Cuarzo ,,"Cristales prismáticos de color morado, transparente y brillo vitreo. Sobre una capa de cuarzo incoloro. ",1/106,5,,28/01/2025,Tienda ,,,,7,,,,,,,,,
,55,Calcita y estibina,,"Microcristales radiados de estibina color gris acero, opaco y brillo metálico, incrustados en  un cristal subhedral de calcita color crema, translucida y brillo vitreo. ",1/106,5,,28/01/2025,Tienda ,Naranja,,,8,,,,,,,,,
,56,Calcita ,,"Cristales tabulares de forma hexagonal,  maclados de color blanco, translucido y brillo vitreo.",1/106,5,,28/01/2025,Tienda ,Naranja,,,9,,,,,,,,,
,57,Calcita ,,"Cristales prismáticos de color amarillo, translucido y brillo vitreo. Tienen incrustaciones de óxidos de hierro. ",1/106,5,,28/01/2025,Tienda ,,,,10,,,,,,,,,
,58,Rodocrosita ,,"Cristales prismáticos de color rosa, translucido y brillo vitreo. Con un agregado de galena masiva ",1/106,5,,28/01/2025,Tienda ,,,,11,,,,,,,,,
,59,Rodocrosita ,,"Cristales prismáticos color rosado, translucido y brillo vitreo. Estos están sobre cristales de calcita blanca, translucida y brillo vitreo. ",1/106,5,,28/01/2025,Tienda ,,,,12,,,,,,,,,
,60,Ortoclasa y cuarzo,,"Cristales prismáticos de color crema, semiopaco y brillo nacarado. Con agregado de cristales de cuarzo amarillento, translucido y brillo vitreo. ",1/106,6,,28/01/2025,Tienda ,,,,1,,,,,,,,,
,61,Cuarzo y calcita,,"Drusa de cuarzo blanco, translucido y brillo vitreo con recubrimiento de óxidos de hierro. ",1/106,6,,28/01/2025,Tienda ,Crema,,,2,,,,,,,,,
,62,Goethita psedu calcita ,,"Costra en forma externa de cristales de calcita. Este fue un recubrimiento con goethita color amarillo pardo, opaco y brillo mate. Donde se disolvió el cristal original ",1/106,6,,28/01/2025,Tienda ,,,,3,,,,,,,,,
,63,"Adamita, aragonito, wulfenita y mimetita",,"Cristales acirculares, radiados de aragonito color blanco, translucido y brillo vitreo. Sobre cristales de adamita color verde, transparente y brillo vitreo. Y agregado de cristales de mimetita y wulfenita color naranja. ",1/106,6,,28/01/2025,Tienda ,Blanco y verde ,,,4,,,,,,,,,
,64,Goethita psedu calcita ,,"Costra de goethita color amarillo pardo, opaco y brillo mate. De un recubrimiento a un cristal de calcita que fue alterado. ",1/106,6,,28/01/2025,Tienda ,,,,5,,,,,,,,,
,65,Rodocrosita ,,"Cristales prismáticos de color rosa, transparente y brillo vitreo. Sobre una matriz rocosa con granos de calcopirita y galena. ",1/106,6,,28/01/2025,Tienda ,,,,6,,,,,,,,,
,66,Andradita,,"Cristales prismáticos color pardo, transparente y brillo vitreo. ",1/106,6,,28/01/2025,Tienda ,,,,7,,,,,,,,,
,67,Ortoclasa y cuarzo ,,"Cristales prismáticos de ortoclasa color blanco, translucido casi opaco y brillo nacarado. Con agregado cristalino de cuarzo color gris, translucido y brillo vitreo. ",1/106,6,,28/01/2025,Tienda ,Crema ,,,8,,,,,,,,,
,68,Melanita y microclina ,,"Cristales prismáticos de granate color negro, translucido y brillo vitreo. Con agregado de cristales prismáticos de microclina color crema, translucida y brillo nacarado. ",1/106,6,,28/01/2025,Tienda ,Crema ,,,9,,,,,,,,,
,69,Goethita psedu calcita ,,"Costra de goethita color amarillo pardo, opaco y brillo mate. De un recubrimiento a un cristal de calcita que fue alterado. ",1/106,6,,28/01/2025,Tienda ,,,,10,,,,,,,,,
,70,Goethita psedu calcita ,,"Costra de goethita color amarillo pardo, opaco y brillo mate. De un recubrimiento a un cristal de calcita que fue alterado. ",1/106,6,,28/01/2025,Tienda ,,,,11,,,,,,,,,
,71,Pirita ,,"Cristales prismáticos de forma pentagonal color amarillo, opaco y brillo metálico. Sobre cristal masivo del mismo. ",1/106,6,,28/01/2025,Tienda ,,,,12,,,,,,,,,
